,elbo
1225,-1210600576.0
1226,-1198107904.0
1227,-1207229824.0
1228,-1220900736.0
1229,-1203990016.0
1230,-1199821568.0
1231,-1207328512.0
1232,-1198061184.0
1233,-1206423168.0
1234,-1197123712.0
1235,-1209912064.0
1236,-1200458112.0
1237,-1202025728.0
1238,-1200534272.0
1239,-1199421952.0
1240,-1200923392.0
1241,-1205785600.0
1242,-1197429504.0
1243,-1200798592.0
1244,-1199608960.0
1245,-1202592000.0
1246,-1192918272.0
1247,-1194818176.0
1248,-1203782656.0
1249,-1203251584.0
1250,-1207287552.0
1251,-1202476032.0
1252,-1202137728.0
1253,-1199405696.0
1254,-1201718528.0
1255,-1198842752.0
1256,-1198822144.0
1257,-1196615680.0
1258,-1196705920.0
1259,-1194741248.0
1260,-1197819520.0
1261,-1196957824.0
1262,-1191697152.0
1263,-1196434944.0
1264,-1194484992.0
1265,-1196078464.0
1266,-1198433024.0
1267,-1194981120.0
1268,-1197154816.0
1269,-1194720512.0
1270,-1191816064.0
1271,-1199603584.0
1272,-1196165248.0
1273,-1193925632.0
1274,-1196442496.0
1275,-1199970816.0
1276,-1191601280.0
1277,-1201592960.0
1278,-1194606464.0
1279,-1196801152.0
1280,-1190676224.0
1281,-1191958528.0
1282,-1198179328.0
1283,-1194995072.0
1284,-1191331200.0
1285,-1195625600.0
1286,-1191943168.0
1287,-1193840000.0
1288,-1193661696.0
1289,-1197471488.0
1290,-1194235904.0
1291,-1193183616.0
1292,-1197239936.0
1293,-1189882752.0
1294,-1189533056.0
1295,-1202030848.0
1296,-1190409728.0
1297,-1188299264.0
1298,-1188669184.0
1299,-1192265472.0
1300,-1190127488.0
1301,-1190133760.0
1302,-1188737536.0
1303,-1189504128.0
1304,-1188455424.0
1305,-1195468800.0
1306,-1197538688.0
1307,-1193422720.0
1308,-1191564800.0
1309,-1190215936.0
1310,-1191469568.0
1311,-1185083904.0
1312,-1186488960.0
1313,-1186893312.0
1314,-1194564352.0
1315,-1189803904.0
1316,-1189336320.0
1317,-1191119360.0
1318,-1188742784.0
1319,-1195026816.0
1320,-1189599616.0
1321,-1187608192.0
1322,-1190075904.0
1323,-1188582784.0
1324,-1188043264.0
1325,-1192974464.0
1326,-1185673088.0
1327,-1190240512.0
1328,-1184516096.0
1329,-1186378112.0
1330,-1185270272.0
1331,-1187924992.0
1332,-1189101184.0
1333,-1187710080.0
1334,-1183590784.0
1335,-1187778304.0
1336,-1192015488.0
1337,-1184471808.0
1338,-1184341632.0
1339,-1191559168.0
1340,-1185964928.0
1341,-1183384832.0
1342,-1186365952.0
1343,-1185265408.0
1344,-1186294528.0
1345,-1200371456.0
1346,-1187325056.0
1347,-1184194432.0
1348,-1184535680.0
1349,-1182853632.0
1350,-1188048000.0
1351,-1178443264.0
1352,-1184131584.0
1353,-1181376512.0
1354,-1183003264.0
1355,-1192479616.0
1356,-1185001600.0
1357,-1182237440.0
1358,-1185733376.0
1359,-1189989376.0
